ParticipantID,Profile,Wave,TimePoint,Stylometry_Composite
P001,High-Drift,1,T1,64.23521368855054
P001,High-Drift,2,T2,67.37781064472966
P001,High-Drift,3,T3,76.91459842145312
P002,High-Drift,1,T1,68.85363435383611
P002,High-Drift,2,T2,66.94630981374499
P002,High-Drift,3,T3,72.94638369372869
P003,High-Drift,1,T1,69.10645766978327
P003,High-Drift,2,T2,71.4534562811881
P003,High-Drift,3,T3,71.88736526329272
P004,High-Drift,1,T1,64.44152019613684
P004,High-Drift,2,T2,65.91462038234393
P004,High-Drift,3,T3,71.90421610893384
P005,High-Drift,1,T1,63.08883022204715
P005,High-Drift,2,T2,59.39023889903991
P005,High-Drift,3,T3,66.23786975369136
P006,High-Drift,1,T1,59.46970611841562
P006,High-Drift,2,T2,63.44225995849509
P006,High-Drift,3,T3,75.41411299667874
P007,High-Drift,1,T1,57.91389166015455
P007,High-Drift,2,T2,61.64463334399119
P007,High-Drift,3,T3,80.595419460147
P008,High-Drift,1,T1,60.98400664781059
P008,High-Drift,2,T2,68.30387692109565
P008,High-Drift,3,T3,67.58863316203944
P009,High-Drift,1,T1,59.55027773963668
P009,High-Drift,2,T2,68.4991516536944
P009,High-Drift,3,T3,68.82052890159963
P010,High-Drift,1,T1,63.69064108255552
P010,High-Drift,2,T2,65.29712589536538
P010,High-Drift,3,T3,72.68737812593025
P011,High-Drift,1,T1,59.29232024496771
P011,High-Drift,2,T2,76.33525183029022
P011,High-Drift,3,T3,73.9392624886793
P012,High-Drift,1,T1,57.24030081969845
P012,High-Drift,2,T2,71.70145210446435
P012,High-Drift,3,T3,68.5062035751304
P013,High-Drift,1,T1,62.9398861775214
P013,High-Drift,2,T2,59.181484442541006
P013,High-Drift,3,T3,68.02316277995706
P014,High-Drift,1,T1,62.885875561411055
P014,High-Drift,2,T2,71.32309960997935
P014,High-Drift,3,T3,74.77115726535487
P015,High-Drift,1,T1,61.47958272925292
P015,High-Drift,2,T2,66.6450333698482
P015,High-Drift,3,T3,67.34665104334658
P016,High-Drift,1,T1,58.76070106222381
P016,High-Drift,2,T2,65.92712553068095
P016,High-Drift,3,T3,78.75705001798512
P017,Moderate-Drift,1,T1,59.54628230305808
P017,Moderate-Drift,2,T2,53.5663193008677
P017,Moderate-Drift,3,T3,66.45837786227658
P018,Moderate-Drift,1,T1,56.26712973812658
P018,Moderate-Drift,2,T2,58.45385099862319
P018,Moderate-Drift,3,T3,67.75254329978391
P019,Moderate-Drift,1,T1,62.63949785123178
P019,Moderate-Drift,2,T2,65.69076053602289
P019,Moderate-Drift,3,T3,61.223521145498125
P020,Moderate-Drift,1,T1,56.608544308669536
P020,Moderate-Drift,2,T2,62.99068544131604
P020,Moderate-Drift,3,T3,69.38995307205062
P021,Moderate-Drift,1,T1,55.843715929696195
P021,Moderate-Drift,2,T2,60.664534605012825
P021,Moderate-Drift,3,T3,60.02149261697287
P022,Moderate-Drift,1,T1,52.617070191636984
P022,Moderate-Drift,2,T2,65.15636620077389
P022,Moderate-Drift,3,T3,71.1030801285687
P023,Moderate-Drift,1,T1,57.6759544528885
P023,Moderate-Drift,2,T2,66.0158980405141
P023,Moderate-Drift,3,T3,66.62736211271435
P024,Moderate-Drift,1,T1,55.09696110427694
P024,Moderate-Drift,2,T2,63.12628022478786
P024,Moderate-Drift,3,T3,71.92116454909686
P025,Moderate-Drift,1,T1,57.83878282400522
P025,Moderate-Drift,2,T2,68.54089645116302
P025,Moderate-Drift,3,T3,53.21114703159615
P026,Moderate-Drift,1,T1,61.698561269688504
P026,Moderate-Drift,2,T2,61.89171180707177
P026,Moderate-Drift,3,T3,63.654466922903595
P027,Moderate-Drift,1,T1,58.41292349440976
P027,Moderate-Drift,2,T2,52.55593988429598
P027,Moderate-Drift,3,T3,64.01147650473119
P028,Moderate-Drift,1,T1,59.607006571802856
P028,Moderate-Drift,2,T2,68.15052320133682
P028,Moderate-Drift,3,T3,62.66778401776859
P029,Moderate-Drift,1,T1,54.36177878698066
P029,Moderate-Drift,2,T2,59.24209330386959
P029,Moderate-Drift,3,T3,69.11930952965933
P030,Moderate-Drift,1,T1,59.479379993468584
P030,Moderate-Drift,2,T2,59.11607908304833
P030,Moderate-Drift,3,T3,67.3097034490101
P031,Moderate-Drift,1,T1,58.43684897206618
P031,Moderate-Drift,2,T2,65.858902457398
P031,Moderate-Drift,3,T3,61.84076107755192
P032,Moderate-Drift,1,T1,56.525520340310045
P032,Moderate-Drift,2,T2,59.73551331090529
P032,Moderate-Drift,3,T3,58.41418273340547
P033,Low-Drift,1,T1,56.33254124679059
P033,Low-Drift,2,T2,57.174748724809504
P033,Low-Drift,3,T3,57.02301055489107
P034,Low-Drift,1,T1,53.94435789981184
P034,Low-Drift,2,T2,49.63083166077314
P034,Low-Drift,3,T3,55.107096047555885
P035,Low-Drift,1,T1,53.45778467562954
P035,Low-Drift,2,T2,52.38975228850271
P035,Low-Drift,3,T3,56.27421429750296
P036,Low-Drift,1,T1,56.818228855665424
P036,Low-Drift,2,T2,64.48783655544739
P036,Low-Drift,3,T3,57.785600157743275
P037,Low-Drift,1,T1,56.15897675825244
P037,Low-Drift,2,T2,55.66499337905225
P037,Low-Drift,3,T3,48.365529531154316
P038,Low-Drift,1,T1,54.88068756047853
P038,Low-Drift,2,T2,56.27103594473462
P038,Low-Drift,3,T3,68.08458950618379
P039,Low-Drift,1,T1,54.13437565848495
P039,Low-Drift,2,T2,57.356963040501256
P039,Low-Drift,3,T3,56.84379703632641
P040,Low-Drift,1,T1,49.74094883071211
P040,Low-Drift,2,T2,61.14270266531759
P040,Low-Drift,3,T3,60.38369864709048
P041,Low-Drift,1,T1,58.559643761693714
P041,Low-Drift,2,T2,51.90775645342367
P041,Low-Drift,3,T3,63.312574399212444
P042,Low-Drift,1,T1,48.691670217434734
P042,Low-Drift,2,T2,58.640856922101214
P042,Low-Drift,3,T3,66.8570503161449
P043,Low-Drift,1,T1,50.542586536911905
P043,Low-Drift,2,T2,53.45166021678752
P043,Low-Drift,3,T3,57.448431142894385
P044,Low-Drift,1,T1,52.7343595564771
P044,Low-Drift,2,T2,49.0220145602024
P044,Low-Drift,3,T3,57.308533386627126
P045,Low-Drift,1,T1,50.21963328823253
P045,Low-Drift,2,T2,58.13116593785832
P045,Low-Drift,3,T3,52.862590945947886
P046,Low-Drift,1,T1,61.97470482257893
P046,Low-Drift,2,T2,52.47536018448693
P046,Low-Drift,3,T3,55.55072317707446
P047,Low-Drift,1,T1,58.66082747816351
P047,Low-Drift,2,T2,50.461110576047204
P047,Low-Drift,3,T3,58.023569705718586
P048,Low-Drift,1,T1,60.88214239427093
P048,Low-Drift,2,T2,48.766325444474475
P048,Low-Drift,3,T3,57.830852363395366
