ID,T1,T2,T3,Profile
P01,4,9,16,High
P02,7,8,11,Stable
P03,3,11,18,High
P04,6,10,14,Moderate
P05,5,12,17,High
P06,4,7,12,Moderate
P07,8,11,14,Stable
P08,2,10,19,High
P09,6,13,16,Moderate
P10,5,9,15,Moderate
P11,4,8,13,Moderate
P12,7,11,14,Stable
P13,3,12,18,High
P14,6,10,15,Moderate
P15,5,11,16,High
P16,4,7,11,Stable
P17,8,12,15,Moderate
P18,3,10,17,High
P19,6,11,14,Moderate
P20,5,10,16,High
P21,4,9,13,Moderate
P22,7,12,15,Moderate
P23,3,11,17,High
P24,6,10,13,Stable
P25,5,13,18,High
P26,4,8,12,Moderate
P27,8,12,16,Moderate
P28,3,10,18,High
P29,6,12,15,Moderate
P30,5,9,14,Moderate
